#Position (bp)	Coverage
3874689.0	0.07020809543786552
1.1624066E7	0.05769341199944202
1.9373443E7	0.05868704026143005
2.712282E7	0.10212059627502959
3.4872197E7	0.06339980620377612
4.2621574E7	0.0784282401023979
5.0370951E7	0.035510725571875006
5.8120328E7	0.025140730667768518
6.5869705E7	0.025651223317693796
7.3619082E7	0.012077745088411623
8.1368459E7	0.016408673884365156
8.9117836E7	0.03438882893424852
9.6867213E7	0.024340279225026733
1.0461659E8	0.011760558300364016
1.12365967E8	0.06388178043215603
1.20115344E8	0.021798268428545934
1.27864721E8	1.0452453145588348E-4
1.35614098E8	0.0
1.43363475E8	0.014575107134418676
1.51112852E8	0.0820219483450089
1.58862229E8	0.08939092781264868
1.66611606E8	0.032326469598781944
1.74360983E8	0.02780391249515929
1.8211036E8	0.0418036185360449
1.89859737E8	0.012234660928226875
1.97609114E8	0.020744764385575768
2.05358491E8	0.06538177197986367
2.13107868E8	0.027582733424893383
2.20857245E8	0.026307534141131603
2.28606622E8	0.054983387696843244
2.36355999E8	0.030410444607353596
2.44105376E8	0.03166048057798711
2.484682435E8	0.044904635389887725
2.52342932E8	0.040326920683376205
2.5960413E8	0.027381297877235807
2.67353507E8	0.028475708434368335
2.75102884E8	0.028667465784668885
2.82852261E8	0.025096469045189054
2.90601638E8	0.02153979603779762
2.98351015E8	0.020138393060500217
3.06100392E8	0.010493488702382139
3.13849769E8	0.022766991462668546
3.21599146E8	0.0662254527041335
3.29348523E8	0.022890098133049923
3.370979E8	0.03000770255466988
3.44847277E8	0.04334942021790913
3.52596654E8	0.057826454952443276
3.60346031E8	0.028762183076136313
3.68095408E8	0.02678873411372295
3.75844785E8	0.027737068412080092
3.81236659E8	0.04937926179758507
3.851113475E8	0.09781514594042934
3.91343539E8	0.04427839812155222
3.99092916E8	0.03488796583260822
4.06842293E8	0.008775931278088548
4.1459167E8	0.027371877765141637
4.22341047E8	0.008301312479699981
4.30090424E8	0.04171664380246309
4.37839801E8	0.013860339998944432
4.45589178E8	0.1482870171369905
4.53338555E8	0.07502435357061607
4.61087932E8	0.03254068036695079
4.68837309E8	0.022116874685539238
4.76586686E8	0.021548312851471803
4.84336063E8	0.01368781000072651
4.9208544E8	0.02736129626936462
4.99834817E8	0.05023500598822331
5.07584194E8	0.037311902621333305
5.146496745E8	0.02198874135324396
5.18524363E8	0.05710951876490083
5.23082948E8	0.06528511904892484
5.30832325E8	0.04087489871766466
5.38581702E8	0.012149750876747899
5.46331079E8	0.032309048843539294
5.54080456E8	0.01014313795805779
5.61829833E8	0.02700926797083172
5.6957921E8	0.09527862691413774
5.77328587E8	0.05862935820518217
